,russian_title,itm_title,ganers,rating,year,status,Драма,Сверхъестественное,Реинкарнация,Сейнен,Шоу-бизнес,Игры,Повседневность,Уход за детьми,Ияшикей,Гарем,Комедия,Романтика,Школа,Сёнен,Экшен,Военное,Меха,Фантастика,Исторический,Организованная преступность,Антропоморфизм,Работа,Музыка,Сёдзе,Фэнтези,Приключения,Ужасы,Кровь,Спорт,Командный спорт,Психологическое,Триллер,Сёдзе Ай,Боевые искусства,Гэг юмор,CGDCT,Правонарушители,Детектив,Исекай,Вампиры,Культура отаку,Исполнительское искусство,Изобразительное искусство,Демоны,Махо-сёдзё,Медицина,Взрослые сейю,Путешествие во времени,Супер сила,Космос,Удостоено наград,Машины,Пародия,Питомцы,Дзёсей,Любовный многоугольник,Этти,Самураи,Сёнен Ай,Полиция,Игра с высокими ставками,Безумие,Детское,Выживание,Гурман,Обратный гарем,Романтический подтекст,Кроссдрессинг,Идолы (парни),Идолы (девушки),Смена пола
0,Ребёнок идола,"""Oshi no Ko""","['Драма', 'Сверхъестественное', 'Реинкарнация', 'Сейнен', 'Шоу-бизнес']",8.9,2023,Finised,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,Мартовский лев,3-gatsu no Lion,"['Драма', 'Игры', 'Повседневность', 'Сейнен', 'Уход за детьми', 'Ияшикей']",8.4,2016,Finised,True,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Мартовский лев 2 сезон,3-gatsu no Lion 2nd Season,"['Игры', 'Драма', 'Сейнен', 'Уход за детьми', 'Ияшикей']",8.9,2017,Finised,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Мартовский лев 2 сезон,3-gatsu no Lion 2nd Season,"['Игры', 'Драма', 'Сейнен', 'Уход за детьми', 'Ияшикей']",8.9,2017,Finised,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Пять невест. Фильм,5-toubun no Hanayome Movie,"['Гарем', 'Комедия', 'Романтика', 'Школа', 'Сёнен']",7.9,2022,Finised,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Пять невест 2 сезон,5-toubun no Hanayome ∬,"['Комедия', 'Гарем', 'Романтика', 'Школа', 'Сёнен']",8.1,2021,Finised,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Восемьдесят шесть,86,"['Экшен', 'Военное', 'Меха', 'Фантастика', 'Драма']",8.3,2021,Finised,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Восемьдесят шесть. Часть 2 сезон,86 Part 2,"['Фантастика', 'Драма', 'Экшен', 'Военное', 'Меха']",8.7,2021,Finised,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,91 день,91Days,"['Драма', 'Экшен', 'Исторический', 'Организованная преступность']",7.8,2016,Finised,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Агрессивная Рэцуко ONA 2,Aggressive Retsuko (ONA) 2nd Season,"['Комедия', 'Антропоморфизм', 'Работа']",7.7,2019,Finised,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,Агрессивная Рэцуко ONA 3,Aggressive Retsuko (ONA) 3rd Season,"['Комедия', 'Антропоморфизм', 'Работа']",7.8,2020,Finised,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Спой немного гармонии,Ai no Utagoe wo Kikasete,"['Музыка', 'Школа', 'Фантастика', 'Драма']",7.7,2021,Finised,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,Малыш и я,Akachan to Boku,"['Комедия', 'Драма', 'Сёдзе', 'Уход за детьми']",7.8,1996,Finised,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,Красноволосая принцесса Белоснежка,Akagami no Shirayuki-hime,"['Драма', 'Фэнтези', 'Романтика', 'Сёдзе']",7.8,2015,Finised,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,Красноволосая принцесса Белоснежка 2 сезон,Akagami no Shirayuki-hime 2nd Season,"['Драма', 'Фэнтези', 'Романтика', 'Сёдзе']",8.0,2016,Finised,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Красноволосая принцесса Белоснежка OVA,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page","['Драма', 'Фэнтези', 'Романтика', 'Сёдзе']",7.7,2016,Finised,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Энн из Зелёных Крыш,Akage no Anne,"['Драма', 'Исторический']",7.8,1979,Finised,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,Йона на заре,Akatsuki no Yona,"['Экшен', 'Приключения', 'Фэнтези', 'Романтика', 'Сёдзе']",8.0,2014,Finised,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Йона на заре OVA,Akatsuki no Yona OVA,"['Приключения', 'Исторический', 'Экшен', 'Фэнтези', 'Сёдзе']",8.1,2015,Finised,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Акира,Akira,"['Экшен', 'Военное', 'Фантастика', 'Приключения', 'Ужасы', 'Сверхъестественное', 'Сейнен', 'Кровь']",8.2,1988,Finised,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,Ангельские ритмы!,Angel Beats,"['Драма', 'Сверхъестественное', 'Школа']",8.1,2010,Finised,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,Нет лекарства для моего брата! 2 сезон,Ani ni Tsukeru Kusuri wa Nai! 2,"['Повседневность', 'Комедия', 'Школа']",7.7,2018,Finised,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,Невиданный цветок,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. / anohana,"['Драма', 'Сверхъестественное']",8.3,2011,Finised,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,Невиданный цветок. Фильм,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie / Anohana Movie,"['Драма', 'Сверхъестественное']",7.8,2013,Finised,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Класс убийц,Ansatsu Kyoushitsu (2015),"['Экшен', 'Комедия', 'Школа', 'Сёнен']",8.1,2015,Finised,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,Класс убийц 2 сезон,Ansatsu Kyoushitsu 2nd Season / ass class 2,"['Экшен', 'Комедия', 'Школа', 'Сёнен']",8.5,2016,Finised,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,Ао Аси,Ao Ashi,"['Спорт', 'Сейнен', 'Командный спорт']",8.2,2022,Finised,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Классические истории,Aoi Bungaku Series,"['Драма', 'Исторический', 'Психологическое', 'Триллер']",7.7,2009,Finised,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,Симфония морской стали: Новое искусство 2,Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,"['Экшен', 'Фантастика', 'Сейнен']",7.8,2015,Finised,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Под мостом над Аракавой 2 сезон,Arakawa Under the Bridge 2 / AUtB2,"['Комедия', 'Романтика', 'Сейнен']",7.7,2010,Finised,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
