,russian_title,itm_title,ganers,rating,year
0,Стальной алхимик: Братство,Hagane no Renkinjutsushi (2009) / FMA (2009),"['Экшен', 'Военное', 'Приключения', 'Драма', 'Фэнтези', 'Сёнен']",9.1,2009
1,Врата Штейна,Steins;Gate,"['Фантастика', 'Триллер', 'Психологическое', 'Драма', 'Путешествие во времени']",9.1,2011
2,Гинтама 4 сезон,Gintama°,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Фантастика', 'Сёнен', 'Гэг юмор']",9.1,2015
3,Блич: Тысячелетняя кровавая война,Bleach: Sennen Kessen-hen,"['Экшен', 'Приключения', 'Сёнен', 'Фэнтези']",9.1,2022
4,Атака титанов 3. Часть 2 сезон,Shingeki no Kyojin Season 3 Part 2 / SnK3.5,"['Экшен', 'Драма', 'Военное', 'Сёнен', 'Кровь', 'Выживание']",9.1,2019
5,Госпожа Кагуя: в любви как на войне 3 сезон,Kaguya-sama wa Kokurasetai: Ultra Romantic,"['Комедия', 'Школа', 'Сейнен', 'Романтика']",9.1,2022
6,Гинтама 2 сезон,Gintama',"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Фантастика', 'Сёнен', 'Гэг юмор']",9.0,2011
7,Охотник х Охотник (2011),Hunter x Hunter (2011),"['Экшен', 'Приключения', 'Сёнен', 'Фэнтези']",9.0,2011
8,Гинтама: Финал,Gintama: The Final,"['Экшен', 'Фантастика', 'Комедия', 'Исторический', 'Пародия', 'Драма', 'Самураи', 'Сёнен', 'Гэг юмор']",9.0,2021
9,Атака титанов: Финал — Заключительная глава,Shingeki no Kyojin: The Final Season - Kanketsu-hen,"['Экшен', 'Драма', 'Кровь', 'Военное', 'Выживание', 'Сёнен', 'Триллер']",9.0,Онгоинг
10,Гинтама 3 сезон,Gintama': Enchousen,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Фантастика', 'Сёнен', 'Гэг юмор']",9.0,2012
11,Легенда о героях Галактики,Ginga Eiyuu Densetsu,"['Драма', 'Фантастика', 'Космос', 'Военное', 'Взрослые сейю']",9.0,1988
12,Корзинка фруктов: Финал,Fruits Basket: The Final,"['Драма', 'Романтика', 'Сёдзе', 'Сверхъестественное']",9.0,2021
13,Гинтама 5 сезон,Gintama.,"['Экшен', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен', 'Фантастика', 'Гэг юмор']",9.0,2017
14,Блич: Тысячелетняя кровавая война — Прощание,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,"['Экшен', 'Приключения', 'Фэнтези', 'Сёнен']",9.0,Онгоинг
15,Гинтама,gintama tv,"['Экшен', 'Фантастика', 'Комедия', 'Исторический', 'Пародия', 'Самураи', 'Сёнен', 'Гэг юмор']",8.9,2006
16,Форма голоса,Koe no Katachi,"['Драма', 'Сёнен', 'Романтический подтекст', 'Удостоено наград']",8.9,2016
17,Кланнад: Продолжение истории,Clannad: After Story,"['Драма', 'Романтика', 'Сверхъестественное']",8.9,2008
18,Мартовский лев 2 сезон,3-gatsu no Lion 2nd Season,"['Игры', 'Драма', 'Сейнен', 'Уход за детьми', 'Ияшикей']",8.9,2017
